  symmlq,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,0.000000e+00,21765,0,8, 1.441e-01
      cr,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.026059e-19,21765,9166,2, 4.335e+01
     cgs,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.346176e-12,21765,133,-4, 1.381e+00
     lcd,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.440774e-18,21765,21765,-3, 1.543e+02
      cg,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.020278e-19,21765,14011,2, 6.523e+01
     fcg,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,9.454425e-20,21765,18500,2, 9.846e+01
    bicg,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,9.582405e-20,21765,15372,2, 1.793e+02
    bcgs,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.325771e-19,21765,21765,-3, 2.027e+02
   ibcgs,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,0.000000e+00,21765,11211,-4, 1.051e+02
   bcgsl,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.078954e-19,21765,8536,2, 7.990e+01
  minres,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.026033e-19,21765,8970,2, 4.422e+01
   gmres,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,2.646816e-19,21765,21765,-3, 1.160e+02
  lgmres,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,1.990589e-19,21765,21765,-3, 1.102e+02
  dgmres,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,2.646816e-19,21765,21765,-3, 1.163e+02
   tfqmr,  jacobi,1.000000e-03,1.000000e-50,1.000000e+04,9.193295e-20,21765,11435,2, 1.088e+02
  symmlq,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,0.000000e+00,21765,0,8, 1.376e-01
      cr,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.024206e-21,21765,14513,2, 6.896e+01
     cgs,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.346176e-12,21765,133,-4, 1.433e+00
     lcd,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.440774e-18,21765,21765,-3, 1.546e+02
      cg,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.017260e-21,21765,15018,2, 7.008e+01
     fcg,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.001385e-21,21765,21547,2, 1.145e+02
    bicg,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.017699e-21,21765,17079,2, 1.990e+02
    bcgs,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.325771e-19,21765,21765,-3, 2.029e+02
   ibcgs,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,0.000000e+00,21765,11211,-4, 1.050e+02
   bcgsl,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.337630e-12,21765,10567,-4, 9.939e+01
  minres,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.026008e-21,21765,21342,2, 1.049e+02
   gmres,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,2.646816e-19,21765,21765,-3, 1.165e+02
  lgmres,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,1.990589e-19,21765,21765,-3, 1.107e+02
  dgmres,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,2.646816e-19,21765,21765,-3, 1.162e+02
   tfqmr,  jacobi,1.000000e-05,1.000000e-50,1.000000e+04,4.506721e-20,21765,21765,-3, 2.064e+02
  symmlq,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,0.000000e+00,21765,0,8, 1.486e-01
      cr,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.021245e-20,21765,11992,2, 5.669e+01
     cgs,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.346176e-12,21765,133,-4, 1.382e+00
     lcd,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.440774e-18,21765,21765,-3, 1.546e+02
      cg,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.013255e-20,21765,14445,2, 6.734e+01
     fcg,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,9.643458e-21,21765,19768,2, 1.049e+02
    bicg,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,9.730472e-21,21765,16028,2, 1.878e+02
    bcgs,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.325771e-19,21765,21765,-3, 2.028e+02
   ibcgs,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,0.000000e+00,21765,11211,-4, 1.050e+02
   bcgsl,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.337630e-12,21765,10567,-4, 9.913e+01
  minres,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.026054e-20,21765,12308,2, 6.043e+01
   gmres,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,2.646816e-19,21765,21765,-3, 1.163e+02
  lgmres,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,1.990589e-19,21765,21765,-3, 1.103e+02
  dgmres,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,2.646816e-19,21765,21765,-3, 1.164e+02
   tfqmr,  jacobi,1.000000e-04,1.000000e-50,1.000000e+04,4.506721e-20,21765,21765,-3, 2.064e+02
